device,model,size,batch_size,ms / img,std dev,MB VRAM allocated,MB RAM allocated
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,256,1,11.687,2.408,220,24
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,256,2,9.809,4.809,324,24
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,256,4,9.228,5.501,530,24
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,256,8,9.704,5.572,945,24
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,256,10,9.669,5.672,1152,24
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,256,12,9.572,5.694,1358,24
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,256,14,9.638,5.804,1567,24
NVIDIA GeForce GTX 1080 Ti,AnyCostGenerator,256,16,9.737,5.897,1773,24
NVIDIA GeForce GTX 1080 Ti,Style1Generator,256,1,8.249,0.251,1773,24
NVIDIA GeForce GTX 1080 Ti,Style1Generator,256,2,3.808,0.126,1773,24
NVIDIA GeForce GTX 1080 Ti,Style1Generator,256,4,2.671,0.933,1773,24
NVIDIA GeForce GTX 1080 Ti,Style1Generator,256,8,2.110,1.088,1773,24
NVIDIA GeForce GTX 1080 Ti,Style1Generator,256,10,1.744,0.917,1773,24
NVIDIA GeForce GTX 1080 Ti,Style1Generator,256,12,1.697,0.922,1773,24
NVIDIA GeForce GTX 1080 Ti,Style1Generator,256,14,1.675,0.915,1773,24
NVIDIA GeForce GTX 1080 Ti,Style1Generator,256,16,1.563,0.888,1773,24
NVIDIA GeForce GTX 1080 Ti,Style2Generator,256,1,10.844,0.599,1773,24
NVIDIA GeForce GTX 1080 Ti,Style2Generator,256,2,9.550,4.012,1773,24
NVIDIA GeForce GTX 1080 Ti,Style2Generator,256,4,9.287,5.313,1773,24
NVIDIA GeForce GTX 1080 Ti,Style2Generator,256,8,9.789,5.475,1773,24
NVIDIA GeForce GTX 1080 Ti,Style2Generator,256,10,9.660,5.432,1773,24
NVIDIA GeForce GTX 1080 Ti,Style2Generator,256,12,9.607,5.681,1773,24
NVIDIA GeForce GTX 1080 Ti,Style2Generator,256,14,9.631,5.767,1773,24
NVIDIA GeForce GTX 1080 Ti,Style2Generator,256,16,9.745,5.891,1773,24
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,256,1,16.195,0.416,1773,29
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,256,2,9.333,2.394,1773,29
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,256,4,8.739,4.550,1773,29
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,256,8,9.196,5.834,1773,29
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,256,10,9.441,6.052,1773,29
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,256,12,10.483,6.721,1773,29
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,256,14,10.391,6.445,1797,29
NVIDIA GeForce GTX 1080 Ti,Style2ADAGenerator,256,16,10.731,6.748,4340,29
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,256,1,13.383,0.389,4340,29
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,256,2,7.943,1.813,4340,29
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,256,4,7.497,3.114,4340,29
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,256,8,7.638,3.886,4340,29
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,256,10,7.457,3.804,4340,29
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,256,12,7.436,3.816,4340,29
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,256,14,7.397,3.816,4340,29
NVIDIA GeForce GTX 1080 Ti,SWAGenerator,256,16,7.782,3.526,4340,29
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,256,1,67.675,36.177,4340,29
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,256,2,48.794,27.771,4340,29
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,256,4,39.873,24.008,4340,29
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,256,8,37.839,22.169,4340,29
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,256,10,38.867,22.494,4340,29
NVIDIA GeForce GTX 1080 Ti,StyleMapGenerator,256,12,38.127,22.327,4340,29
