device,model,size,batch_size,ms / img,std dev,MB VRAM allocated,MB RAM allocated
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,1,12.133,3.523,226,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,2,5.606,0.264,392,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,4,4.297,1.764,661,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,8,4.398,2.115,1206,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,16,4.596,2.136,1778,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,24,31.746,15.550,2602,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,32,31.819,15.630,3430,24
NVIDIA GeForce RTX 3090,Style1Generator,256,1,8.613,0.317,375,24
NVIDIA GeForce RTX 3090,Style1Generator,256,2,4.454,0.169,172,24
NVIDIA GeForce RTX 3090,Style1Generator,256,4,2.178,0.071,200,24
NVIDIA GeForce RTX 3090,Style1Generator,256,8,1.060,0.038,302,24
NVIDIA GeForce RTX 3090,Style1Generator,256,16,0.581,0.051,500,24
NVIDIA GeForce RTX 3090,Style1Generator,256,24,0.521,0.174,701,24
NVIDIA GeForce RTX 3090,Style1Generator,256,32,0.524,0.212,901,24
NVIDIA GeForce RTX 3090,Style2Generator,256,1,11.695,0.177,458,24
NVIDIA GeForce RTX 3090,Style2Generator,256,2,5.898,0.152,390,24
NVIDIA GeForce RTX 3090,Style2Generator,256,4,4.295,1.597,661,24
NVIDIA GeForce RTX 3090,Style2Generator,256,8,4.367,2.082,1205,24
NVIDIA GeForce RTX 3090,Style2Generator,256,16,4.566,2.108,1777,24
NVIDIA GeForce RTX 3090,Style2Generator,256,24,31.509,15.437,2600,24
NVIDIA GeForce RTX 3090,Style2Generator,256,32,31.609,15.530,3427,24
NVIDIA GeForce RTX 3090,Style2ADAGenerator,256,1,16.742,0.742,502,29
NVIDIA GeForce RTX 3090,Style2ADAGenerator,256,2,8.290,0.218,424,29
NVIDIA GeForce RTX 3090,Style2ADAGenerator,256,4,4.204,0.171,724,29
NVIDIA GeForce RTX 3090,Style2ADAGenerator,256,8,3.940,1.547,1331,29
NVIDIA GeForce RTX 3090,Style2ADAGenerator,256,16,3.567,1.816,2550,29
NVIDIA GeForce RTX 3090,Style2ADAGenerator,256,24,3.690,2.027,3760,29
NVIDIA GeForce RTX 3090,Style2ADAGenerator,256,32,3.494,1.955,4974,29
NVIDIA GeForce RTX 3090,SWAGenerator,256,1,15.004,1.629,419,29
NVIDIA GeForce RTX 3090,SWAGenerator,256,2,7.258,0.153,264,29
NVIDIA GeForce RTX 3090,SWAGenerator,256,4,3.851,0.409,416,29
NVIDIA GeForce RTX 3090,SWAGenerator,256,8,3.450,1.056,717,29
NVIDIA GeForce RTX 3090,SWAGenerator,256,16,3.334,1.262,1046,29
NVIDIA GeForce RTX 3090,SWAGenerator,256,24,30.209,14.725,1435,29
NVIDIA GeForce RTX 3090,SWAGenerator,256,32,30.215,14.818,1876,29
NVIDIA GeForce RTX 3090,StyleMapGenerator,256,1,65.220,28.178,874,29
NVIDIA GeForce RTX 3090,StyleMapGenerator,256,2,36.619,19.383,1042,29
NVIDIA GeForce RTX 3090,StyleMapGenerator,256,4,24.942,13.766,1771,29
NVIDIA GeForce RTX 3090,StyleMapGenerator,256,8,20.483,10.017,3227,29
NVIDIA GeForce RTX 3090,StyleMapGenerator,256,16,17.473,8.082,5633,29
NVIDIA GeForce RTX 3090,StyleMapGenerator,256,24,44.371,21.069,8288,29
NVIDIA GeForce RTX 3090,StyleMapGenerator,256,32,42.689,20.189,10949,29
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,1,11.685,0.358,301,31
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,2,5.802,0.180,84,31
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,4,3.192,0.355,134,31
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,8,1.476,0.042,233,31
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,16,0.850,0.020,433,31
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,24,0.688,0.040,634,31
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,32,0.713,0.060,834,31
NVIDIA GeForce RTX 3090,AnyCostGenerator,512,1,12.775,0.324,554,31
NVIDIA GeForce RTX 3090,AnyCostGenerator,512,2,6.991,1.059,563,31
NVIDIA GeForce RTX 3090,AnyCostGenerator,512,4,6.413,2.654,1007,31
NVIDIA GeForce RTX 3090,AnyCostGenerator,512,8,6.480,3.034,1895,31
NVIDIA GeForce RTX 3090,AnyCostGenerator,512,16,6.807,2.908,3672,31
NVIDIA GeForce RTX 3090,AnyCostGenerator,512,24,33.646,16.423,5447,31
NVIDIA GeForce RTX 3090,AnyCostGenerator,512,32,33.741,16.531,7224,31
NVIDIA GeForce RTX 3090,Style1Generator,512,1,9.914,0.236,1165,31
NVIDIA GeForce RTX 3090,Style1Generator,512,2,4.857,0.170,335,31
NVIDIA GeForce RTX 3090,Style1Generator,512,4,2.520,0.175,535,31
NVIDIA GeForce RTX 3090,Style1Generator,512,8,2.083,0.791,936,31
NVIDIA GeForce RTX 3090,Style1Generator,512,16,1.923,0.941,1739,31
NVIDIA GeForce RTX 3090,Style1Generator,512,24,1.857,0.969,2541,31
NVIDIA GeForce RTX 3090,Style1Generator,512,32,1.836,0.998,3346,31
