device,model,size,batch_size,ms / img,std dev,MB VRAM allocated,MB RAM allocated
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,1,12.009,0.706,220,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,2,8.291,0.575,318,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,4,6.708,0.108,520,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,8,6.250,0.080,924,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,16,6.123,0.032,1677,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,24,6.458,0.046,2458,24
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,32,6.296,0.054,3238,24
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,1,9.280,1.071,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,1,13.046,1.205,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,1,24.689,0.691,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,2,4.627,0.523,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,2,7.180,0.852,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,2,16.239,0.564,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,4,4.221,0.253,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,4,6.491,0.601,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,4,18.409,0.549,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,8,1.488,0.143,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,8,3.716,0.125,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,8,15.113,0.270,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,16,1.033,0.047,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,16,3.804,0.091,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,16,13.700,0.263,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,24,0.900,0.050,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,24,3.798,0.059,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,24,14.539,0.053,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,32,0.836,0.033,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,32,3.695,0.031,-1,-1
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,32,14.411,0.083,-1,-1
