device,model,size,batch_size,ms / img,std dev,MB VRAM allocated,MB RAM allocated
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,256,1,692.612,19.086,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,256,2,685.417,18.208,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,256,4,691.777,32.446,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,256,8,639.261,27.019,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,256,1,92.003,4.500,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,256,2,67.928,2.470,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,256,4,57.706,2.850,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,256,8,58.656,2.176,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,256,1,673.159,12.818,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,256,2,651.132,32.673,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,256,4,654.031,23.181,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,256,8,626.162,32.002,0,23
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,256,1,578.500,24.772,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,256,2,592.579,32.356,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,256,4,603.050,16.068,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,256,8,556.241,19.427,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,256,1,403.106,9.329,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,256,2,383.069,22.096,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,256,4,400.000,15.444,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,256,8,384.294,14.525,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,256,1,2154.364,111.855,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,256,2,2095.451,145.246,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,256,4,1985.633,48.140,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,256,8,1909.148,93.580,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,512,1,1066.515,36.739,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,512,2,1075.106,32.401,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,512,4,1072.326,30.012,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,512,8,1048.820,34.739,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,512,1,272.242,6.731,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,512,2,260.871,9.218,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,512,4,260.192,3.303,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,512,8,254.476,2.941,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,512,1,1090.174,41.364,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,512,2,1080.502,37.228,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,512,4,1063.591,35.519,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,512,8,1070.621,16.235,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,512,1,1007.761,53.517,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,512,2,1030.977,37.996,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,512,4,1002.176,35.354,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,512,8,944.773,22.374,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,512,1,653.629,17.953,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,512,2,641.173,43.343,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,512,4,646.163,27.658,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,512,8,673.445,21.798,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,512,1,3463.901,257.737,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,512,2,3285.480,177.538,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,512,4,3244.412,115.133,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,512,8,3194.680,69.519,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,1024,1,1907.991,25.717,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,1024,2,1950.822,28.775,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,1024,4,1908.427,31.876,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,AnyCostGenerator,1024,8,1875.552,33.556,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,1024,1,1001.171,8.640,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,1024,2,1015.993,13.894,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,1024,4,990.204,30.976,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style1Generator,1024,8,923.863,19.160,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,1024,1,1973.937,61.189,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,1024,2,1971.153,29.096,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,1024,4,1920.947,41.927,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2Generator,1024,8,1903.210,42.692,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,1024,1,1833.426,70.835,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,1024,2,1858.386,22.187,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,1024,4,1839.822,16.478,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,Style2ADAGenerator,1024,8,1716.575,12.549,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,1024,1,1369.814,18.576,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,1024,2,1352.319,24.853,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,1024,4,1271.305,14.659,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,SWAGenerator,1024,8,1310.399,8.643,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,1024,1,6433.625,60.333,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,1024,2,6304.642,48.266,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,1024,4,6092.437,33.739,0,30
AMD Ryzen Threadripper 1920X 12-Core Processor,StyleMapGenerator,1024,8,5857.138,34.423,0,30
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,1,116.732,9.153,220,30
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,2,61.722,4.593,318,30
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,4,36.003,2.569,520,30
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,8,24.302,1.191,897,30
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,16,18.065,0.652,1677,30
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,24,16.164,0.556,2458,30
NVIDIA GeForce RTX 3090,AnyCostGenerator,256,32,-1,-1,2748,30
NVIDIA GeForce RTX 3090,Style1Generator,256,1,9.866,1.393,155,30
