id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
3a48ecea,style1,interpolation,512,200,cuda:0,8,1,8041
19d760fd,style1,interpolation,512,3200,cuda:0,8,1,19026
0da617d8,swa,random,256,200,cuda:0,8,1,58013
db8304e5,swa,interpolation,256,3200,cuda:1,8,1,94995
d4e5a418,swa,random,256,1600,cuda:0,8,1,65974
f19b8d57,anycost,random,512,100,cuda:0,8,1,14958
fc12e4d4,anycost,random,256,800,cuda:0,8,1,15939
12cef373,style1,interpolation,256,800,cuda:1,8,1,12922
90bfbfcb,swa,random,256,400,cuda:1,8,1,65902
ed7e88a3,mobile,interpolation,1024,400,cuda:0,8,1,65885
09f7dff0,style2,random,1024,100,cuda:0,8,1,68866
214b24ef,mobile,random,512,800,cuda:0,8,1,64850
9fcd6905,mobile,random,512,100,cuda:0,8,1,61832
ff4f3c23,mobile,random,1024,100,cuda:1,8,1,71814
6cfbfb04,style2,interpolation,256,100,cuda:1,8,1,71786
edfbcfc1,mobile,interpolation,512,800,cuda:0,8,1,64766
55f22b55,style2ada,interpolation,256,400,cuda:1,8,1,19742
f4e2417a,swa,random,512,1600,cuda:1,8,1,116726
9ea3948a,anycost,random,512,100,cuda:0,8,1,15710
a5717692,mobile,interpolation,256,100,cuda:0,8,1,57694
b4375d86,swa,random,256,400,cuda:0,8,1,67677
11148843,style2ada,interpolation,1024,800,cuda:1,8,1,59658
5a64e0bf,style1,interpolation,256,200,cuda:0,8,1,8638
b5ff285b,style1,interpolation,512,100,cuda:0,8,1,11622
8e472cd0,anycost,interpolation,1024,200,cuda:1,8,1,81606
25f9c094,style2ada,random,1024,1600,cuda:0,8,1,45590
bebdd309,swa,random,512,1600,cuda:1,8,1,165577
2cff4450,style2,interpolation,1024,800,cuda:1,8,1,105556
54dbe1ab,mobile,interpolation,256,200,cuda:0,8,1,59521
b666b104,anycost,random,1024,800,cuda:0,8,1,44502
8092e2b6,anycost,interpolation,512,400,cuda:0,8,1,26486
3d057a0d,stylemap,interpolation,1024,100,cuda:1,8,1,-1
a03baf0e,mobile,interpolation,256,200,cuda:1,8,1,385446
30df9fdf,stylemap,random,256,200,cuda:1,8,1,166430
657a0c3d,swa,random,256,400,cuda:1,8,1,279409
922799dd,mobile,random,1024,3200,cuda:0,8,1,168390
d45853ad,swa,random,1024,1600,cuda:0,8,1,183374
8965f08b,style2ada,interpolation,1024,800,cuda:0,8,1,31354
77141139,mobile,random,1024,800,cuda:0,8,1,208330
99b6c80a,swa,random,512,3200,cuda:1,8,1,155314
72f1921f,stylemap,interpolation,512,800,cuda:0,8,1,-1
8005998f,swa,interpolation,256,3200,cuda:1,8,1,-1
c0d4a260,style2,random,512,1600,cuda:0,8,1,250242
823100b2,anycost,interpolation,512,400,cuda:0,8,1,33222
16803ec4,anycost,random,1024,1600,cuda:0,8,1,-1
17e2207d,style1,interpolation,1024,1600,cuda:0,8,1,76179
009c9e6f,mobile,interpolation,1024,100,cuda:1,8,1,-1
ed041173,swa,interpolation,256,3200,cuda:0,8,1,-1
09a777e1,anycost,random,512,800,cuda:0,8,1,112081
298a9903,style2ada,random,512,3200,cuda:0,8,1,122061
61906f7e,style2,interpolation,1024,800,cuda:0,8,1,166038
56781e94,style1,random,512,1600,cuda:0,8,1,30014
b1bbd95e,stylemap,random,256,200,cuda:0,8,1,-1
f129f1e0,mobile,interpolation,1024,100,cuda:0,8,1,-1
cef6e85a,stylemap,interpolation,512,800,cuda:0,8,1,-1
f7aeef35,style2ada,interpolation,1024,800,cuda:0,8,1,-1
5b44bb98,style2,random,256,200,cuda:1,8,1,117774
82f5dda2,style2,random,1024,200,cuda:0,8,1,-1
d7bc6241,stylemap,random,1024,1600,cuda:1,8,1,-1
98a19d2f,mobile,random,1024,3200,cuda:1,8,1,-1
