id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
bced9dc2,style1,random,256,100,cuda:0,8,1,7376
50f51dba,style1,random,1024,400,cuda:1,8,1,25362
c09694e9,style1,random,512,100,cuda:0,8,1,8343
1161e91d,style1,random,1024,400,cuda:1,8,1,26330
ed7e25fa,style1,random,1024,1600,cuda:1,8,1,93312
31c78e68,style1,interpolation,1024,100,cuda:0,8,1,11293
0a99cf40,style1,random,1024,100,cuda:0,8,1,10278
11baf072,style1,interpolation,1024,1600,cuda:1,8,1,-1
a9d8d2ef,style1,random,1024,6400,cuda:1,8,1,-1
3d3ddebf,style1,interpolation,1024,400,cuda:1,8,1,-1
c7a9655e,style1,interpolation,512,400,cuda:1,8,1,20205
601be71b,style1,random,256,3200,cuda:0,8,1,12190
edb7378a,style1,interpolation,1024,200,cuda:0,8,1,12173
905275a8,style1,interpolation,1024,200,cuda:1,8,1,19148
7831ddb4,style1,random,1024,400,cuda:1,8,1,36130
f59ca8b2,style1,interpolation,1024,1600,cuda:0,8,1,40113
f5bb9030,style1,interpolation,512,800,cuda:0,8,1,15097
bac5b16d,style1,random,256,3200,cuda:0,8,1,17078
