,schedule,lambda,trials,unfinished,std unfinished,restarts,std restarts,completed,std completed,evicted,std evicted,time,std time,time / img,std / img,time / megapixel,std / megapixel
0,random,15,5,0.0,0.8,4.0,2.3151673805580453,40.0,0.4,0.0,0.0,18.05,20.139349390999623,0.07118000000000001,0.14042313315727184,0.283355712890625,0.5560775319359458
1,vram-aware,15,5,1.0,0.9797958971132712,0.0,0.8,40.0,1.0954451150103321,0.0,0.0,17.868,34.51423179623926,0.08191,0.0862968125249969,0.36945343017578125,0.6895063485090609
2,random,10,5,2.0,4.963869458396342,13.0,17.848249213858484,58.0,5.083306010855534,0.0,0.0,21.088,35.4862326976402,0.090795,0.19003434486426476,0.3131103515625,2.195041449380959
3,vram-aware,10,5,5.0,4.48998886412873,1.0,1.8330302779823362,55.0,4.409081537009721,0.0,0.0,23.4825,39.614262323162514,0.09977875,0.11314697208421122,0.442352294921875,1.063280709123243
4,improved,10,5,11.0,3.4292856398964493,3.0,11.80847153530041,52.0,3.6660605559646724,0.0,0.0,23.979,48.19748923572008,0.1073025,0.21552929320635456,0.4190635681152344,1.5696290301908997
5,random,5,5,38.0,6.681317235396026,157.0,30.348640826238,84.0,6.6452990903344595,0.0,0.0,54.982,64.5601441351676,0.17410499999999998,0.39059669811914005,0.854034423828125,4.043941728887297
6,vram-aware,5,5,38.0,11.77454882362802,48.0,16.637307474468336,86.0,11.88949115816148,0.0,0.0,41.829,61.26800661507146,0.15923500000000002,0.25841561784922984,0.662994384765625,1.8053040075241016
7,improved,5,5,45.0,15.200000000000001,60.0,15.31012736720371,78.0,15.80379701211073,0.0,0.4,60.817,64.4468445021115,0.19838,0.30982683491599783,0.9068441390991211,2.892531531565977
8,random,4,1,63.0,0.0,228.0,0.0,90.0,0.0,0.0,0.0,84.893,66.79659101380548,0.26791125,0.40348523862344154,0.9722232818603516,4.03777089724896
9,vram-aware,4,4,52.5,13.534677683639163,134.0,26.81767141270845,100.5,14.396180048887969,0.0,0.0,57.449,60.068581728970955,0.24383000000000002,0.32385921543118,1.0512542724609375,3.2577611386180543
10,improved,4,5,80.0,5.9194594347794975,75.0,10.744300814850634,72.0,6.374950980203692,0.0,0.0,78.973,67.38360278514415,0.2679425,0.3240557787247176,0.9063005447387695,3.062184581566939
11,vram-aware,3,3,114.0,7.845734863959881,209.0,37.85058343892029,88.0,8.65383665716478,0.0,0.4714045207910317,82.3005,81.29752867832485,0.33593125,0.45419517654324254,1.483602523803711,5.252372370037226
12,improved,3,2,130.0,6.0,87.0,1.0,76.0,4.0,0.0,0.0,91.185,64.75535246565302,0.314695,0.35360957348509886,1.1846208572387695,2.853672124623653
