id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
3c03871d,swa,random,1024,800,cuda:0,4,1,156031
4bf4305a,style2,interpolation,1024,100,cuda:0,4,1,18008
de51b931,style2ada,interpolation,512,200,cuda:0,4,1,14993
4f2695d3,swa,random,512,200,cuda:0,4,1,19972
3083f379,mobile,random,512,200,cuda:0,4,1,11878
7f028285,anycost,interpolation,1024,100,cuda:0,4,1,16820
379486a5,anycost,random,512,400,cuda:0,4,1,30804
9fa52923,swa,random,512,400,cuda:1,4,1,27717
b2c5890c,style1,interpolation,256,200,cuda:0,4,1,9647
117d6199,style2ada,random,256,100,cuda:0,4,1,12629
909436d1,stylemap,interpolation,1024,800,cuda:0,4,1,225608
b8c4b61c,swa,interpolation,1024,100,cuda:1,4,1,22587
67848941,style2ada,random,512,800,cuda:0,4,1,66484
51fa99e7,swa,interpolation,256,400,cuda:0,4,1,156469
5f08ddeb,style1,interpolation,256,800,cuda:0,4,1,18438
0732f6c1,swa,random,1024,200,cuda:1,4,1,59392
61395a3d,stylemap,random,1024,200,cuda:0,4,1,113342
612f09e6,style1,random,1024,200,cuda:1,4,1,25332
d53ec458,style1,interpolation,256,400,cuda:1,4,1,21296
48905287,anycost,random,1024,100,cuda:1,4,1,37279
70d74c38,anycost,random,512,800,cuda:1,4,1,119237
6b28180c,style1,random,1024,100,cuda:1,4,1,25217
282b30a3,style2ada,interpolation,256,400,cuda:0,4,1,127195
a169ed24,swa,interpolation,512,100,cuda:1,4,1,26164
f16a61ed,style2,random,256,800,cuda:1,4,1,36019
42b35dab,stylemap,random,1024,100,cuda:1,2,1,89005
b1b5beaf,style1,random,512,800,cuda:1,4,1,139985
615c68f6,style2,interpolation,256,400,cuda:0,4,1,187687
26ae5c34,style1,random,256,800,cuda:1,4,1,106687
97e9f4c3,style2ada,interpolation,256,800,cuda:0,4,1,84644
1f013388,style2,interpolation,256,800,cuda:0,4,1,188548
815cbeeb,mobile,interpolation,256,800,cuda:1,4,1,36528
19a9f57e,mobile,random,1024,200,cuda:1,4,1,111408
c7fa1d28,style2,random,512,400,-1,-1,1,-1
1f1207db,anycost,interpolation,512,100,cuda:0,4,1,102263
581e4b82,stylemap,random,512,400,cuda:0,4,1,131263
b679855e,style1,random,1024,400,-1,-1,1,-1
fb73e1d2,mobile,interpolation,256,200,-1,-1,1,-1
a114be17,style2,interpolation,256,800,-1,-1,1,-1
