id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
25632706,style2,random,256,200,cuda:0,4,1,11833
6070c2d1,swa,random,1024,100,cuda:0,4,1,13751
4dff6398,stylemap,random,256,200,cuda:0,4,1,16667
f07f8644,anycost,random,1024,200,cuda:0,4,1,14548
5d492b05,style1,random,1024,200,cuda:0,4,1,11524
0e28a721,style2,random,512,800,cuda:0,4,1,26506
b249214e,style2,interpolation,256,400,cuda:0,4,1,21479
27a9f703,mobile,random,256,100,cuda:0,4,1,8396
14e18a72,anycost,random,256,400,cuda:0,4,1,11369
7eaf7d32,swa,random,512,400,cuda:0,4,1,14278
5c492e27,style2ada,interpolation,1024,200,cuda:0,4,1,16247
d4d0bbd5,anycost,interpolation,256,400,cuda:0,4,1,14087
09c2353e,stylemap,interpolation,512,100,cuda:0,4,1,20936
22dc47d7,mobile,random,512,400,cuda:0,4,1,15839
213a4065,mobile,random,1024,200,cuda:0,4,1,12800
d22d4289,stylemap,random,256,100,cuda:0,4,1,14790
15bc89c8,mobile,random,256,400,cuda:0,4,1,9759
112ba45b,mobile,random,256,800,cuda:0,4,1,9736
b5096908,style2,interpolation,256,400,cuda:0,4,1,14704
8bb9c9f0,mobile,interpolation,512,400,cuda:0,4,1,12655
2fdd6b09,style2ada,interpolation,256,200,cuda:0,4,1,10622
b1d57664,anycost,random,1024,400,cuda:0,4,1,20594
389adcfb,mobile,interpolation,1024,800,cuda:0,4,1,28433
359d790c,anycost,interpolation,512,800,cuda:0,4,1,39407
63a45553,mobile,random,512,200,cuda:0,4,1,12293
cfee1763,style2ada,random,1024,400,cuda:0,4,1,42216
4a1349c4,stylemap,random,512,400,cuda:0,4,1,76158
e26b6df5,style2,interpolation,512,200,cuda:0,4,1,23121
ae3d8373,style2,random,1024,800,cuda:1,4,1,64092
7251f3c1,mobile,interpolation,512,400,cuda:0,4,1,14053
fa2e1826,style1,interpolation,256,400,cuda:0,4,1,14013
c3ea230f,stylemap,interpolation,512,100,cuda:0,4,1,27818
c99224b6,style1,random,512,200,cuda:0,4,1,12778
3549797a,mobile,interpolation,256,100,cuda:0,4,1,11738
7af2222d,style2,random,1024,100,cuda:0,4,1,13464
0fae4d71,style2ada,interpolation,512,100,cuda:0,4,1,8368
4e0010b4,anycost,interpolation,256,200,cuda:0,4,1,11334
e29d8e88,anycost,interpolation,256,100,cuda:0,4,1,8307
e167281f,anycost,random,512,200,cuda:0,4,1,19227
d9a58e83,style2ada,interpolation,512,100,cuda:0,4,1,11957
cf4ee2ef,style2ada,interpolation,512,100,cuda:0,4,1,10912
bcd7e92f,style1,random,512,100,cuda:1,4,1,9882
2867e551,swa,interpolation,512,200,cuda:0,4,1,11821
4e0d17f5,anycost,random,512,800,cuda:0,4,1,34649
d71e571b,mobile,random,1024,100,cuda:0,4,1,16608
c95bdb6b,stylemap,random,1024,800,cuda:0,4,1,-1
4d95f953,stylemap,random,256,200,cuda:1,4,1,28472
3f0c3f02,style1,random,512,200,cuda:0,4,1,11432
1c864626,anycost,random,256,100,cuda:0,4,1,14389
52dc64e5,swa,random,512,800,cuda:0,4,1,-1
75ea4796,style2ada,interpolation,256,400,cuda:0,4,1,81993
f2f0fab4,stylemap,interpolation,512,400,cuda:0,4,1,-1
ea457b8f,swa,random,512,200,cuda:1,4,1,21907
7c44008c,style1,random,256,100,cuda:0,4,1,13869
960da193,mobile,random,1024,400,cuda:0,4,1,31724
be623ab0,style2,interpolation,256,800,cuda:1,4,1,-1
9d2eab2f,style2,interpolation,1024,400,cuda:1,4,1,-1
6411f665,anycost,random,1024,800,cuda:1,4,1,-1
10139460,swa,interpolation,1024,100,cuda:0,4,1,-1
18f74305,style2,random,1024,400,cuda:0,4,1,-1
236ddaa2,anycost,random,1024,200,-1,-1,1,-1




