id,network,job_type,image_size,num_imgs,device,batch_size,data_parallelism,response_time
d849d85e,mobile,interpolation,256,100,cuda:0,8,1,7577
415a088e,stylemap,interpolation,256,400,cuda:0,8,1,21561
51846893,style2ada,random,512,800,cuda:0,8,1,19542
3913068a,swa,interpolation,256,200,cuda:1,8,1,13504
8da1de59,swa,interpolation,512,100,cuda:1,8,1,17473
0b39f679,mobile,interpolation,512,800,cuda:0,8,1,12453
f1eb506f,stylemap,interpolation,256,800,cuda:1,8,1,84427
ec2f1cdf,style2,interpolation,256,400,cuda:1,8,1,33399
36e455ce,anycost,random,256,100,cuda:0,8,1,13381
e1af1a35,anycost,interpolation,256,100,cuda:0,8,1,9360
45ab7af8,anycost,interpolation,1024,200,cuda:1,8,1,39343
3e4c57ef,style1,interpolation,256,400,cuda:0,8,1,7313
e0a321be,stylemap,interpolation,512,200,cuda:0,8,1,23288
f8d9196e,style2ada,random,512,400,cuda:1,8,1,25260
e8b5789d,anycost,random,512,200,cuda:0,8,1,14236
d0a07d41,anycost,interpolation,512,100,cuda:1,8,1,24212
ccb9a3e3,swa,random,256,400,cuda:0,8,1,12196
7d18105a,mobile,random,1024,400,cuda:1,8,1,26168
050145fa,stylemap,random,512,400,cuda:0,8,1,59133
8099f5d5,style2,random,256,200,cuda:0,8,1,18122
35b8487a,style1,random,512,400,cuda:1,8,1,15109
01ab9a96,mobile,interpolation,512,400,cuda:0,8,1,13084
f7255abc,style2ada,interpolation,512,400,cuda:0,8,1,22034
ec81a4f2,mobile,interpolation,512,200,cuda:1,8,1,11000
30f45380,style1,random,256,100,cuda:0,8,1,6973
63c4ad86,swa,random,512,100,cuda:0,8,1,10948
a41c9974,anycost,interpolation,1024,400,cuda:0,8,1,23912
2992ef52,mobile,random,512,100,cuda:0,8,1,8849
b17c1383,style2ada,random,1024,100,cuda:0,8,1,10823
dd8bcaa4,anycost,random,1024,200,cuda:1,8,1,26782
39d6c727,anycost,interpolation,512,200,cuda:1,8,1,22765
5ccb7aaf,swa,random,512,800,cuda:0,8,1,19741
9f28c34d,anycost,interpolation,256,200,cuda:0,8,1,11706
c1adedb8,swa,interpolation,256,400,cuda:0,8,1,11664
7ff6ad5b,stylemap,interpolation,1024,100,cuda:0,8,1,26641
e79b80c4,anycost,random,512,200,cuda:0,8,1,18616
4222a3e5,swa,random,512,800,cuda:0,8,1,20585
b48a5e54,mobile,interpolation,1024,800,cuda:1,8,1,44556
e69350dc,swa,interpolation,1024,200,cuda:0,8,1,18517
fe1e06f8,style2,random,256,800,cuda:1,8,1,-1




