device,model,size,batch_size,ms / img,std dev,MB VRAM allocated,MB RAM allocated
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,256,1,75.201,3.605,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,256,2,57.261,2.802,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,256,4,46.882,1.052,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,256,8,45.388,2.060,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,512,1,185.052,7.162,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,512,2,183.594,4.708,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,512,4,181.576,5.001,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,512,8,176.569,4.455,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,1024,1,695.778,13.004,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,1024,2,731.174,22.075,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,1024,4,711.367,4.033,0,22
AMD Ryzen Threadripper 1920X 12-Core Processor,MobileStyleGenerator,1024,8,726.583,5.991,0,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,1,18.945,0.173,62,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,2,9.887,0.334,72,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,4,7.376,0.376,109,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,8,3.389,0.041,186,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,16,2.345,0.097,338,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,24,1.862,0.158,490,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,256,32,1.742,0.217,642,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,1,24.255,2.177,115,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,2,15.535,0.692,190,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,4,12.076,0.300,342,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,8,7.971,0.274,647,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,16,6.688,0.359,1255,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,24,6.814,0.352,1863,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,512,32,6.690,0.423,2472,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,1,43.269,1.739,350,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,2,33.610,1.053,654,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,4,32.897,0.681,1262,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,8,-1,-1,2349,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,16,-1,-1,2717,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,24,-1,-1,2717,22
NVIDIA GeForce RTX 3090,MobileStyleGenerator,1024,32,-1,-1,2786,22
NVIDIA GeForce GTX 1080 Ti,MobileStyleGenerator,256,1,-1,-1,1125,22
