device,model,size,batch_size,ms / img (sync),std dev (sync),ms / img (no sync),std dev (no sync)
RTX 3090,AnyCostGenerator,256,1,11.299,0.421,10.777,0.228
RTX 3090,AnyCostGenerator,512,1,19.715,0.557,18.916,0.772
RTX 3090,AnyCostGenerator,1024,1,27.797,1.290,24.806,1.482
RTX 3090,AnyCostGenerator,256,2,8.146,0.391,7.827,0.071
RTX 3090,AnyCostGenerator,512,2,16.762,0.328,15.930,0.152
RTX 3090,AnyCostGenerator,1024,2,24.139,0.301,21.432,0.187
RTX 3090,AnyCostGenerator,256,4,7.028,0.135,6.697,0.114
RTX 3090,AnyCostGenerator,512,4,15.523,0.120,14.843,0.159
RTX 3090,AnyCostGenerator,1024,4,22.892,0.123,20.128,0.084
RTX 3090,AnyCostGenerator,256,8,6.414,0.043,6.224,0.017
RTX 3090,AnyCostGenerator,512,8,15.147,0.087,14.409,0.057
RTX 3090,AnyCostGenerator,1024,8,22.570,0.226,19.751,0.078
RTX 3090,AnyCostGenerator,256,16,6.192,0.094,5.969,0.021
RTX 3090,AnyCostGenerator,512,16,14.813,0.080,14.130,0.028
RTX 3090,AnyCostGenerator,1024,16,24.559,0.161,19.471,0.097
RTX 3090,AnyCostGenerator,256,24,6.058,0.010,5.886,0.021
RTX 3090,AnyCostGenerator,512,24,14.717,0.076,14.019,0.021
RTX 3090,AnyCostGenerator,1024,24,24.398,0.144,19.348,0.116
RTX 3090,AnyCostGenerator,256,32,6.070,0.038,5.910,0.014
RTX 3090,AnyCostGenerator,512,32,14.708,0.051,14.044,0.036
RTX 3090,AnyCostGenerator,1024,32,24.489,0.081,19.411,0.069
RTX 3090,Style1Generator,256,1,6.840,1.227,6.296,0.845
RTX 3090,Style1Generator,512,1,9.158,0.718,7.396,0.926
RTX 3090,Style1Generator,1024,1,20.712,0.569,10.960,3.563
RTX 3090,Style1Generator,256,2,3.425,0.597,3.147,0.290
RTX 3090,Style1Generator,512,2,5.802,0.640,3.360,0.046
RTX 3090,Style1Generator,1024,2,16.502,0.392,8.959,4.063
RTX 3090,Style1Generator,256,4,1.999,0.293,1.548,0.078
RTX 3090,Style1Generator,512,4,4.307,0.228,2.338,0.754
RTX 3090,Style1Generator,1024,4,14.499,0.548,7.911,4.154
RTX 3090,Style1Generator,256,8,1.341,0.076,0.774,0.024
RTX 3090,Style1Generator,512,8,3.738,0.047,2.064,0.951
RTX 3090,Style1Generator,1024,8,15.390,0.148,7.320,4.078
RTX 3090,Style1Generator,256,16,1.024,0.027,0.546,0.185
RTX 3090,Style1Generator,512,16,4.005,0.064,1.898,0.984
RTX 3090,Style1Generator,1024,16,14.319,0.134,6.748,3.972
RTX 3090,Style1Generator,256,24,0.935,0.023,0.503,0.213
RTX 3090,Style1Generator,512,24,3.816,0.037,1.817,0.951
RTX 3090,Style1Generator,1024,24,14.102,0.104,6.671,4.036
RTX 3090,Style1Generator,256,32,0.929,0.070,0.505,0.224
RTX 3090,Style1Generator,512,32,3.811,0.040,2.196,0.744
RTX 3090,Style1Generator,1024,32,13.885,0.044,6.467,3.978
RTX 3090,Style2Generator,256,1,11.580,0.117,11.302,0.186
RTX 3090,Style2Generator,512,1,20.130,0.162,19.195,0.142
RTX 3090,Style2Generator,1024,1,27.907,0.243,24.800,0.204
RTX 3090,Style2Generator,256,2,8.076,0.051,7.822,0.047
RTX 3090,Style2Generator,512,2,16.873,0.188,16.159,0.342
RTX 3090,Style2Generator,1024,2,24.494,0.884,21.477,0.089
RTX 3090,Style2Generator,256,4,6.879,0.087,6.662,0.067
RTX 3090,Style2Generator,512,4,15.544,0.023,14.827,0.079
RTX 3090,Style2Generator,1024,4,25.761,0.120,20.228,0.206
RTX 3090,Style2Generator,256,8,6.420,0.019,6.230,0.026
RTX 3090,Style2Generator,512,8,15.132,0.089,14.426,0.077
RTX 3090,Style2Generator,1024,8,25.135,0.120,19.762,0.130
RTX 3090,Style2Generator,256,16,6.157,0.022,6.001,0.037
RTX 3090,Style2Generator,512,16,15.523,0.030,14.144,0.050
RTX 3090,Style2Generator,1024,16,24.736,0.202,19.519,0.135
RTX 3090,Style2Generator,256,24,6.071,0.010,5.882,0.021
RTX 3090,Style2Generator,512,24,15.521,0.047,14.003,0.059
RTX 3090,Style2Generator,1024,24,24.644,0.076,19.374,0.167
RTX 3090,Style2Generator,256,32,6.065,0.016,5.908,0.015
RTX 3090,Style2Generator,512,32,15.465,0.027,14.078,0.040
RTX 3090,Style2Generator,1024,32,24.720,0.066,19.454,0.102
RTX 3090,Style2ADAGenerator,256,1,11.925,0.239,10.681,1.000
RTX 3090,Style2ADAGenerator,512,1,21.206,1.050,12.402,0.375
RTX 3090,Style2ADAGenerator,1024,1,29.069,0.378,16.370,4.037
RTX 3090,Style2ADAGenerator,256,2,8.408,0.613,5.174,0.098
RTX 3090,Style2ADAGenerator,512,2,17.358,0.379,10.619,4.275
RTX 3090,Style2ADAGenerator,1024,2,25.497,0.480,15.172,6.664
RTX 3090,Style2ADAGenerator,256,4,6.646,0.276,3.760,1.437
RTX 3090,Style2ADAGenerator,512,4,10.037,0.118,6.219,2.665
RTX 3090,Style2ADAGenerator,1024,4,21.240,0.197,10.576,5.173
RTX 3090,Style2ADAGenerator,256,8,5.905,0.100,3.840,1.969
RTX 3090,Style2ADAGenerator,512,8,9.335,0.101,5.948,3.068
RTX 3090,Style2ADAGenerator,1024,8,19.225,0.116,9.903,5.214
RTX 3090,Style2ADAGenerator,256,16,5.072,0.027,3.378,1.835
RTX 3090,Style2ADAGenerator,512,16,9.283,0.083,5.515,3.078
RTX 3090,Style2ADAGenerator,1024,16,18.954,0.119,10.107,5.720
RTX 3090,Style2ADAGenerator,256,24,5.375,0.014,3.627,2.090
RTX 3090,Style2ADAGenerator,512,24,9.540,0.083,5.750,3.377
RTX 3090,Style2ADAGenerator,1024,24,18.591,0.070,10.012,5.493
RTX 3090,Style2ADAGenerator,256,32,5.095,0.018,3.427,2.022
RTX 3090,Style2ADAGenerator,512,32,9.226,0.045,5.567,3.307
RTX 3090,Style2ADAGenerator,1024,32,18.855,1.559,9.805,5.427
RTX 3090,SWAGenerator,256,1,15.445,0.778,14.304,0.179
RTX 3090,SWAGenerator,512,1,18.660,0.644,17.694,0.674
RTX 3090,SWAGenerator,1024,1,29.470,0.559,26.057,0.397
RTX 3090,SWAGenerator,256,2,9.035,0.338,8.718,0.080
RTX 3090,SWAGenerator,512,2,12.244,0.421,11.077,0.192
RTX 3090,SWAGenerator,1024,2,22.474,0.377,19.478,0.124
RTX 3090,SWAGenerator,256,4,6.281,0.174,5.944,0.045
RTX 3090,SWAGenerator,512,4,8.894,0.084,8.123,0.081
RTX 3090,SWAGenerator,1024,4,22.985,0.362,16.776,0.189
RTX 3090,SWAGenerator,256,8,5.166,0.082,4.926,0.043
RTX 3090,SWAGenerator,512,8,7.713,0.060,6.992,0.070
RTX 3090,SWAGenerator,1024,8,21.496,0.162,15.616,0.179
RTX 3090,SWAGenerator,256,16,4.589,0.045,4.405,0.037
RTX 3090,SWAGenerator,512,16,7.958,0.065,6.434,0.038
RTX 3090,SWAGenerator,1024,16,20.472,0.109,15.059,0.120
RTX 3090,SWAGenerator,256,24,4.428,0.026,4.254,0.014
RTX 3090,SWAGenerator,512,24,7.745,0.039,6.227,0.060
RTX 3090,SWAGenerator,1024,24,20.081,0.094,14.836,0.105
RTX 3090,SWAGenerator,256,32,4.351,0.010,4.187,0.013
RTX 3090,SWAGenerator,512,32,7.645,0.065,6.183,0.042
RTX 3090,SWAGenerator,1024,32,19.900,0.100,14.829,0.079
RTX 3090,StyleMapGenerator,256,1,78.149,0.489,75.095,4.518
RTX 3090,StyleMapGenerator,512,1,157.930,0.345,153.203,9.185
RTX 3090,StyleMapGenerator,1024,1,295.657,0.479,285.521,18.650
RTX 3090,StyleMapGenerator,256,2,48.372,0.233,46.876,2.599
RTX 3090,StyleMapGenerator,512,2,99.197,0.512,96.178,5.273
RTX 3090,StyleMapGenerator,1024,2,177.643,0.352,170.983,10.316
RTX 3090,StyleMapGenerator,256,4,34.112,0.146,33.127,1.662
RTX 3090,StyleMapGenerator,512,4,70.519,0.297,68.671,2.854
RTX 3090,StyleMapGenerator,1024,4,123.039,0.443,115.036,5.893
RTX 3090,StyleMapGenerator,256,8,26.777,0.133,26.113,1.106
RTX 3090,StyleMapGenerator,512,8,55.996,0.250,54.505,1.886
RTX 3090,StyleMapGenerator,1024,8,93.648,0.299,86.796,3.475
RTX 3090,StyleMapGenerator,256,16,20.040,0.044,19.535,0.820
RTX 3090,StyleMapGenerator,512,16,46.438,0.117,44.519,1.427
RTX 3090,StyleMapGenerator,1024,16,,,,
RTX 3090,StyleMapGenerator,256,24,20.395,0.022,19.969,0.791
RTX 3090,StyleMapGenerator,512,24,45.746,0.061,43.870,1.242
RTX 3090,StyleMapGenerator,1024,24,,,,
RTX 3090,StyleMapGenerator,256,32,18.344,0.023,17.907,0.694
RTX 3090,StyleMapGenerator,512,32,,,,
RTX 3090,StyleMapGenerator,1024,32,,,,
RTX 3090,MobileStyleGenerator,256,1,9.280,1.071,8.430,0.209
RTX 3090,MobileStyleGenerator,512,1,13.046,1.205,11.337,0.754
RTX 3090,MobileStyleGenerator,1024,1,24.689,0.691,18.725,0.468
RTX 3090,MobileStyleGenerator,256,2,4.627,0.523,4.261,0.059
RTX 3090,MobileStyleGenerator,512,2,7.180,0.852,5.513,0.142
RTX 3090,MobileStyleGenerator,1024,2,16.239,0.564,11.955,0.282
RTX 3090,MobileStyleGenerator,256,4,4.221,0.253,3.889,0.067
RTX 3090,MobileStyleGenerator,512,4,6.491,0.601,5.184,0.202
RTX 3090,MobileStyleGenerator,1024,4,18.409,0.549,11.892,1.044
RTX 3090,MobileStyleGenerator,256,8,1.488,0.143,1.179,0.080
RTX 3090,MobileStyleGenerator,512,8,3.716,0.125,2.695,0.263
RTX 3090,MobileStyleGenerator,1024,8,15.113,0.270,9.327,1.296
